channel_code,customer_id,day_since_last_trx,count_trx,net_sales,count_site_activity,count_email_received,count_email_opened,count_content_clicked,count_product_viewed,count_email_opened_clicked,count_coupon_received,count_campaign_spam_marked,count_campaign_unsubscribed,count_chat_delivered,count_soft_bounced,count_hard_bounced
PlanetSports.Asia,0c5609b541e742dfa0c89ad5e35cf24ae24f98eece55a8d6bfebb1ee9f73f4f3,218,1,"Rp85,766",0,16,30,0,0,30,0,0,0,0,0,0
PlanetSports.Asia,30acb41a4a01c32cfd4c93c799cba74cc326af33a80ea03350dc1a80ac6a4fcf,353,1,"Rp85,766",0,0,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,5a2cb8dec9a840fa7ef29435cf7f424f71aa440c9e9123886b4cf0c9fe6758c5,297,1,"Rp86,550",0,26,9,0,0,9,1,0,0,0,0,0
PlanetSports.Asia,fbe50ca08df9f5ae19e324da84fce5e0bb5dc2905b20bbe262f8031ef5001ea0,296,1,"Rp86,550",0,21,14,0,0,14,0,0,0,0,0,0
PlanetSports.Asia,38bb79ab9ded5d054a1fdf1ed43af071ca9d2af68276cdf6e298ce3c1da0868a,243,1,"Rp87,658",1,31,30,0,1,30,3,0,0,0,0,0
PlanetSports.Asia,022731cf9bc2d47e4861c22ac816762d5007f128f646268f0951643c2be29542,36,1,"Rp87,658",0,2,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,ddeeed34520f3ed284bde4da46b06cd05d44161b07a60f22f4191d3474f0a388,58,1,"Rp87,658",0,32,60,0,0,60,3,0,1,0,0,0
PlanetSports.Asia,1e180a08f07ab862ac0e295569d04d1199aee345247aab79c72b7fce588f4ba7,32,1,"Rp87,658",0,6,4,0,0,4,1,0,0,0,0,0
PlanetSports.Asia,307009c3ff649a30907c077574b9cef0ddeded791dc2976a7ff85ddacbf0abe3,100,1,"Rp87,680",0,15,5,0,0,5,0,0,0,0,0,0
PlanetSports.Asia,63404b77ec9f8cad0e2c5fa0d6f2c479d3553c90281149594dba9ac8e635fc49,302,1,"Rp89,189",0,27,30,0,0,30,0,0,0,0,0,0
PlanetSports.Asia,7ab87269190ad2b466c5dc81304dbf28ae3186707e2d5079789d486962d47429,302,1,"Rp89,189",0,22,1,0,0,1,0,0,0,0,0,0
PlanetSports.Asia,172d9c8de0b9fd62c7474868bf703ae8c2e8dbeeee86e737b01b051185f2697d,125,1,"Rp89,189",0,25,2,0,0,2,0,0,0,0,0,0
PlanetSports.Asia,baa2b63dce7b940b06cd11b684c5f9fef5f7b80d6ec99cbed4342c21b91b0f59,3,1,"Rp89,189",0,0,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,82905deda065aef2c47600947fd439b9f43d235e8de8fa9c0c3bc8d5032b6518,302,1,"Rp89,189",0,16,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,78277f37111f8e07ede2eb58126bfaa37e40c9588680429bd876610bad5a335b,331,1,"Rp89,189",0,27,2,0,0,2,0,0,0,0,0,0
PlanetSports.Asia,1f2401d6167e3cfd60ab0abe336daf9de6015f52284c759ca3ae96123f7eaccc,191,1,"Rp89,189",0,20,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,201cf43f5fa5683d926896c0f4fd5c419d348cd551ad023a9717787dfffa38a5,302,1,"Rp89,189",0,17,0,0,0,0,0,0,0,0,0,0
PlanetSports.Asia,69c8f420aad66249650db2bdc28fc760be68173964dbd68a6f5f11ad101e87cf,302,1,"Rp89,189",1,31,27,2,0,28,0,0,0,0,0,0
PlanetSports.Asia,16bce5c9a39e2b5d87d40c69b05002ef8096575e8d09327b31f61f49f9dce52d,253,1,"Rp89,189",0,0,0,0,0,0,0,0,0,0,0,0
